Sample_ID,Architecture,Tool,Success_Status,Time_s,Mem_MB,Func_Count,Block_Count,IR_Stmt_Count
CWE197_Numeric_Truncation_Error__int_fgets_to_char_03_armel_O3.bad,ARM,bap,Success,41.99,28.55,0,123880,219511
CWE197_Numeric_Truncation_Error__int_fgets_to_char_03_armel_O3.bad,ARM,llvm,Success,.01,8.46,0,0,0
CWE401_Memory_Leak__char_realloc_18_armel_O2.bad,ARM,ghidra,Success,65.25,908.83,1304,32074,735630
CWE401_Memory_Leak__char_realloc_18_armel_O2.bad,ARM,angr,Success,21.71,512.61,3678,33632,657209
CWE401_Memory_Leak__char_realloc_18_armel_O2.bad,ARM,bap,Success,41.83,28.58,0,123695,219237
CWE401_Memory_Leak__char_realloc_18_armel_O2.bad,ARM,llvm,Success,.01,8.68,0,0,0
CWE401_Memory_Leak__struct_twoIntsStruct_realloc_21_armel_O0.bad,ARM,ghidra,Success,67.27,1049.30,1309,32116,738234
CWE401_Memory_Leak__struct_twoIntsStruct_realloc_21_armel_O0.bad,ARM,angr,Success,22.02,512.11,3675,33628,659276
CWE401_Memory_Leak__struct_twoIntsStruct_realloc_21_armel_O0.bad,ARM,bap,Success,41.09,28.97,0,124344,220192
CWE401_Memory_Leak__struct_twoIntsStruct_realloc_21_armel_O0.bad,ARM,llvm,Success,.01,8.83,0,0,0
CWE401_Memory_Leak__twoIntsStruct_malloc_03_x86_64_O0.bad,x86-64,ghidra,Success,7.75,687.29,135,235,3433
CWE401_Memory_Leak__twoIntsStruct_malloc_03_x86_64_O0.bad,x86-64,angr,Success,.90,134.69,156,309,4764
CWE401_Memory_Leak__twoIntsStruct_malloc_03_x86_64_O0.bad,x86-64,bap,Success,4.68,28.56,0,1088,2484
CWE401_Memory_Leak__twoIntsStruct_malloc_03_x86_64_O0.bad,x86-64,llvm,Success,.01,10.05,0,0,1125
CWE401_Memory_Leak__malloc_realloc_struct_twoIntsStruct_02_armel_O1.good,ARM,ghidra,Success,8.71,725.71,139,258,6138
CWE401_Memory_Leak__malloc_realloc_struct_twoIntsStruct_02_armel_O1.good,ARM,angr,Success,.90,133.54,118,284,4447
CWE401_Memory_Leak__malloc_realloc_struct_twoIntsStruct_02_armel_O1.good,ARM,bap,Success,4.55,28.41,0,971,1870
CWE401_Memory_Leak__malloc_realloc_struct_twoIntsStruct_02_armel_O1.good,ARM,llvm,Success,.01,8.53,0,0,0
CWE401_Memory_Leak__malloc_realloc_struct_twoIntsStruct_11_x86_64_O1.good,x86-64,ghidra,Success,7.74,706.76,134,237,2266
CWE401_Memory_Leak__malloc_realloc_struct_twoIntsStruct_11_x86_64_O1.good,x86-64,angr,Success,.93,134.38,156,314,3504
CWE401_Memory_Leak__malloc_realloc_struct_twoIntsStruct_11_x86_64_O1.good,x86-64,bap,Success,4.54,28.50,0,755,1874
CWE401_Memory_Leak__malloc_realloc_struct_twoIntsStruct_11_x86_64_O1.good,x86-64,llvm,Success,.01,9.96,0,0,798
CWE401_Memory_Leak__int_malloc_34_riscv64_O2.good,UCB RISC-V,ghidra,Success,8.07,754.95,126,194,1520
CWE401_Memory_Leak__int_malloc_34_riscv64_O2.good,UCB RISC-V,angr,Failure - Crash,.72,112.60,0,0,0
CWE401_Memory_Leak__int_malloc_34_riscv64_O2.good,UCB RISC-V,bap,Success,4.43,28.40,0,698,722
CWE401_Memory_Leak__int_malloc_34_riscv64_O2.good,UCB RISC-V,llvm,Success,.01,8.44,0,0,0
CWE366_Race_Condition_Within_Thread__int_byref_11_mips_O3.bad,MIPS,ghidra,Success,8.27,735.73,108,277,3788
CWE366_Race_Condition_Within_Thread__int_byref_11_mips_O3.bad,MIPS,angr,Success,1.05,134.79,106,300,4179
CWE366_Race_Condition_Within_Thread__int_byref_11_mips_O3.bad,MIPS,bap,Success,4.54,28.53,0,1293,1204
CWE366_Race_Condition_Within_Thread__int_byref_11_mips_O3.bad,MIPS,llvm,Success,.01,8.46,0,0,0
CWE401_Memory_Leak__struct_twoIntsStruct_realloc_44_mips_O3.bad,MIPS,ghidra,Success,8.35,757.77,107,174,2636
CWE401_Memory_Leak__struct_twoIntsStruct_realloc_44_mips_O3.bad,MIPS,angr,Success,.99,133.50,105,199,2779
CWE401_Memory_Leak__struct_twoIntsStruct_realloc_44_mips_O3.bad,MIPS,bap,Success,4.44,28.59,0,897,869
CWE401_Memory_Leak__struct_twoIntsStruct_realloc_44_mips_O3.bad,MIPS,llvm,Success,.01,8.37,0,0,0
CWE401_Memory_Leak__int64_t_malloc_14_riscv64_O3.bad,UCB RISC-V,ghidra,Success,7.89,695.33,127,211,1638
CWE401_Memory_Leak__int64_t_malloc_14_riscv64_O3.bad,UCB RISC-V,angr,Failure - Crash,.77,112.61,0,0,0
CWE401_Memory_Leak__int64_t_malloc_14_riscv64_O3.bad,UCB RISC-V,bap,Success,4.49,27.96,0,753,780
CWE401_Memory_Leak__int64_t_malloc_14_riscv64_O3.bad,UCB RISC-V,llvm,Success,.01,8.68,0,0,0
CWE401_Memory_Leak__int_calloc_11_mips_Ofast.bad,MIPS,ghidra,Success,8.36,722.10,111,204,2823
CWE401_Memory_Leak__int_calloc_11_mips_Ofast.bad,MIPS,angr,Success,1.02,133.68,109,230,3054
CWE401_Memory_Leak__int_calloc_11_mips_Ofast.bad,MIPS,bap,Success,4.42,28.14,0,995,954
CWE401_Memory_Leak__int_calloc_11_mips_Ofast.bad,MIPS,llvm,Success,.01,8.82,0,0,0
CWE401_Memory_Leak__char_malloc_45_armel_O0.bad,ARM,ghidra,Success,66.42,1030.28,1307,32106,737888
CWE401_Memory_Leak__char_malloc_45_armel_O0.bad,ARM,angr,Success,21.90,510.19,3618,33619,659400
CWE401_Memory_Leak__char_malloc_45_armel_O0.bad,ARM,bap,Success,41.00,28.46,0,124217,219901
CWE401_Memory_Leak__char_malloc_45_armel_O0.bad,ARM,llvm,Success,.01,8.70,0,0,0
CWE401_Memory_Leak__malloc_realloc_char_12_riscv64_O2.bad,UCB RISC-V,ghidra,Success,7.93,736.77,129,211,1723
CWE401_Memory_Leak__malloc_realloc_char_12_riscv64_O2.bad,UCB RISC-V,angr,Failure - Crash,.74,112.43,0,0,0
CWE401_Memory_Leak__malloc_realloc_char_12_riscv64_O2.bad,UCB RISC-V,bap,Success,4.40,28.80,0,783,814
CWE401_Memory_Leak__malloc_realloc_char_12_riscv64_O2.bad,UCB RISC-V,llvm,Success,.01,8.57,0,0,0
CWE484_Omitted_Break_Statement_in_Switch__basic_01_riscv64_O0.bad,UCB RISC-V,ghidra,Success,8.04,652.88,125,222,2569
CWE484_Omitted_Break_Statement_in_Switch__basic_01_riscv64_O0.bad,UCB RISC-V,angr,Failure - Crash,.73,112.66,0,0,0
CWE484_Omitted_Break_Statement_in_Switch__basic_01_riscv64_O0.bad,UCB RISC-V,bap,Success,4.42,28.71,0,1112,1114
CWE484_Omitted_Break_Statement_in_Switch__basic_01_riscv64_O0.bad,UCB RISC-V,llvm,Success,.01,8.45,0,0,0
CWE401_Memory_Leak__struct_twoIntsStruct_realloc_03_mips_O1.good,MIPS,ghidra,Success,8.14,705.14,108,201,3054
CWE401_Memory_Leak__struct_twoIntsStruct_realloc_03_mips_O1.good,MIPS,angr,Success,1.00,134.20,107,227,3473
CWE401_Memory_Leak__struct_twoIntsStruct_realloc_03_mips_O1.good,MIPS,bap,Success,4.50,28.37,0,1065,1014
CWE401_Memory_Leak__struct_twoIntsStruct_realloc_03_mips_O1.good,MIPS,llvm,Success,.01,8.44,0,0,0
CWE401_Memory_Leak__twoIntsStruct_calloc_17_riscv64_O2.good,UCB RISC-V,ghidra,Success,7.92,929.30,130,196,1580
CWE401_Memory_Leak__twoIntsStruct_calloc_17_riscv64_O2.good,UCB RISC-V,angr,Failure - Crash,.73,112.72,0,0,0
CWE401_Memory_Leak__twoIntsStruct_calloc_17_riscv64_O2.good,UCB RISC-V,bap,Success,4.40,28.51,0,719,745
CWE401_Memory_Leak__twoIntsStruct_calloc_17_riscv64_O2.good,UCB RISC-V,llvm,Success,.01,8.51,0,0,0
CWE197_Numeric_Truncation_Error__int_large_to_char_02_x86_64_Ofast.good,x86-64,ghidra,Success,7.70,801.86,129,179,1928
CWE197_Numeric_Truncation_Error__int_large_to_char_02_x86_64_Ofast.good,x86-64,angr,Success,.87,134.63,205,306,2679
CWE197_Numeric_Truncation_Error__int_large_to_char_02_x86_64_Ofast.good,x86-64,bap,Success,4.60,28.57,0,614,1494
CWE197_Numeric_Truncation_Error__int_large_to_char_02_x86_64_Ofast.good,x86-64,llvm,Success,.01,10.17,0,0,715
CWE484_Omitted_Break_Statement_in_Switch__basic_08_riscv64_O2.good,UCB RISC-V,ghidra,Success,7.92,775.17,123,195,1555
CWE484_Omitted_Break_Statement_in_Switch__basic_08_riscv64_O2.good,UCB RISC-V,angr,Failure - Crash,.73,112.75,0,0,0
CWE484_Omitted_Break_Statement_in_Switch__basic_08_riscv64_O2.good,UCB RISC-V,bap,Success,4.40,28.39,0,719,737
CWE484_Omitted_Break_Statement_in_Switch__basic_08_riscv64_O2.good,UCB RISC-V,llvm,Success,.01,8.32,0,0,0
CWE401_Memory_Leak__struct_twoIntsStruct_malloc_16_armel_Ofast.good,ARM,ghidra,Success,65.94,974.26,1303,32077,735732
CWE401_Memory_Leak__struct_twoIntsStruct_malloc_16_armel_Ofast.good,ARM,angr,Success,22.42,512.16,3627,33575,656713
CWE401_Memory_Leak__struct_twoIntsStruct_malloc_16_armel_Ofast.good,ARM,bap,Success,41.53,28.67,0,123708,219221
CWE401_Memory_Leak__struct_twoIntsStruct_malloc_16_armel_Ofast.good,ARM,llvm,Success,.01,8.47,0,0,0
CWE197_Numeric_Truncation_Error__int_connect_socket_to_short_42_mips_O2.bad,MIPS,ghidra,Success,8.87,794.46,116,177,2649
CWE197_Numeric_Truncation_Error__int_connect_socket_to_short_42_mips_O2.bad,MIPS,angr,Success,1.09,133.90,114,207,2846
CWE197_Numeric_Truncation_Error__int_connect_socket_to_short_42_mips_O2.bad,MIPS,bap,Success,4.62,28.08,0,905,882
CWE197_Numeric_Truncation_Error__int_connect_socket_to_short_42_mips_O2.bad,MIPS,llvm,Success,.01,8.69,0,0,0
CWE401_Memory_Leak__int_calloc_16_armel_O2.good,ARM,ghidra,Success,66.25,932.26,1303,32074,735577
CWE401_Memory_Leak__int_calloc_16_armel_O2.good,ARM,angr,Success,22.10,511.12,3683,33602,657110
CWE401_Memory_Leak__int_calloc_16_armel_O2.good,ARM,bap,Success,47.01,28.58,0,123784,219514
CWE401_Memory_Leak__int_calloc_16_armel_O2.good,ARM,llvm,Success,.01,8.76,0,0,0
CWE401_Memory_Leak__malloc_realloc_struct_twoIntsStruct_13_x86_64_O2.bad,x86-64,ghidra,Success,6.23,725.88,137,217,2272
CWE401_Memory_Leak__malloc_realloc_struct_twoIntsStruct_13_x86_64_O2.bad,x86-64,angr,Success,.84,135.50,221,356,3158
